_id,OBJECTID,OID,Address,City,County,Zip,Year,Recipient,Approved Loan Amount,Recipient Type,Project Type,Project Status,Estimated Savings ($/yr),Annual Electric Savings (kWh),Lighting,HVAC,Solar,Battery Storage,EV Infrastructure,Other,Project Summary,Utility,Type of Utility,DAC,DDLat,DDLon,DDLat_D,DDLon_D,GlobalID,CreationDate,Creator,EditDate,Editor,x,y,x2,y2
830,833,840,"675 Texas St # 6500, Fairfield, CA 94533",Fairfield,Solano,94533,1979,COUNTY OF SOLANO,19000,Local Government,ECAA-Reg,Completed,950,15079.36508,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,38.24821350N,122.04122480W,38.2482135,-122.0412248,dbd3da96-8c14-4184-a0c0-3fc0c1640a0f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.0412248,38.2482135,-13585567.0005,4614549.64
831,834,841,"15031 Rinaldi St, Mission Hills, CA 91345",Mission Hills,Los Angeles,91345,1979,HOLY CROSS HOSPITAL,19673,Hospital/Public Care,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.27984200N,118.45993800W,34.279842,-118.459938,72ad3ea1-a108-44ec-907c-277ea680d8ec,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.459938,34.279842,-13186899.9776,4066440.1512
832,835,842,"333 Mercy Ave, Merced, CA 95340",Merced,Merced,95340,1979,MERCY  HOSPITAL AND MEDICAL CENTER,20444,Hospital/Public Care,ECAA-Reg,Completed,1022.2,13575.0332,No,No,No,No,No,Yes,,PacifiCorp,IOU,No,37.34013200N,120.46720100W,37.340132,-120.467201,67505de7-ae17-4cfa-a3b2-518eafc148c6,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.467201,37.340132,-13410347.4726,4486623.4414
833,836,843,"1376 Piedmont Rd, San Jose, CA 95132",San Jose,Santa Clara,95132,1979,BERRYESSA UNION SCHOOL,21089,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.40219700N,121.84737600W,37.402197,-121.847376,8eef7c8f-1fea-4465-b608-d4a47af13cc2,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.847376,37.402197,-13563987.8508,4495317.1237
834,837,844,"435 Hillcrest Ave, Pacific Grove, CA 93950",Pacific Grove,Monterey,93950,1979,PACIFIC GROVE UNIFIED SCHOOL,22302,School,ECAA-Ed,Completed,1115.1,15487.5,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,36.62244400N,121.91692700W,36.622444,-121.916927,84b17aa1-4599-4c9a-aafc-7f465f41747c,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.916927,36.622444,-13571730.2327,4386610.2018
835,838,845,"8089 Madison Ave, Citrus Heights, CA 95610",Citrus Heights,Sacramento,95610,1979,EASTER SEAL SOCIETY,23050,Hospital/Public Care,ECAA-Reg,Completed,1152.5,20954.54545,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.66541800N,121.26378000W,38.665418,-121.26378,1b769111-3066-4b93-accc-e994bf23a779,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.26378,38.665418,-13499022.2413,4673858.2609
836,839,846,"2425 Jefferson St, Napa, CA 94558",Napa,Napa,94558,1979,NAPA VALLEY UNIFIED,27930,School,ECAA-Ed,Completed,1396.5,18159.94798,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,38.31387720N,122.29877230W,38.3138772,-122.2987723,4148f340-fd80-4162-99f9-1bf3859aeadf,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2987723,38.3138772,-13614237.0571,4623861.5178
837,840,847,"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355",Santa Clarita,Los Angeles,91355,1979,COLLEGE OF THE CANYONS,33000,College,ECAA-Reg,Completed,1650,21345.4075,No,No,No,No,No,Yes,,Los Angeles Department of Water & Power,POU,Yes,34.40500900N,118.56984200W,34.405009,-118.569842,7c30f906-a51e-4353-9976-87546c7018d1,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.569842,34.405009,-13199134.4349,4083315.3554
838,841,848,"1376 Piedmont Rd, San Jose, CA 95132",San Jose,Santa Clara,95132,1979,BERRYESSA UNION SCHOOL,34418,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.40219700N,121.84737600W,37.402197,-121.847376,8845975e-d390-4421-88ba-c126b80e1f3f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.847376,37.402197,-13563987.8508,4495317.1237
839,842,849,"43600 Mission Blvd, Fremont, CA 94539",Fremont,Alameda,94539,1979,OHLONE COLLEGE,36352,College,ECAA-Reg,Completed,1817.6,25672.31638,No,No,No,No,No,Yes,,Los Angeles Department of Water & Power,POU,Yes,37.53158900N,121.91148100W,37.531589,-121.911481,d458f588-f9fa-4fa3-ad50-6bdf37518b30,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.911481,37.531589,-13571123.9868,4513464.7463
840,843,850,"824 Pine St, Mt Shasta, CA 96067",Mt Shasta,Siskiyou,96067,1979,MT SHASTA COMMUNITY HOSPITAL,37910,Hospital/Public Care,ECAA-Reg,Completed,1895.5,34463.63636,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,41.31763270N,122.32048800W,41.3176327,-122.320488,df6dd1eb-39a3-4bf6-acc8-2abdca66c07e,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.320488,41.3176327,-13616654.4377,5059305.9092
841,844,851,"6696 Clark Rd, Paradise, CA 95969",Paradise,Butte,95969,1979,PARADISE UNIFIED SCHOOL,38567,School,ECAA-Ed,Completed,1928.35,27947.10145,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,39.77861970N,121.58928510W,39.7786197,-121.5892851,80789eb2-c46c-40a4-b317-e5c57e513136,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.5892851,39.7786197,-13535257.3033,4833823.8557
842,845,852,"435 Hillcrest Ave, Pacific Grove, CA 93950",Pacific Grove,Monterey,93950,1979,PACIFIC GROVE UNIFIED SCHOOL,40700,School,ECAA-Ed,Completed,2035,28263.88889,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,36.62244400N,121.91692700W,36.622444,-121.916927,e7dce1d5-fa89-4d44-a12b-79dfc4799e26,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.916927,36.622444,-13571730.2327,4386610.2018
843,846,853,"1936 Carlotta Dr, Concord, CA 94519",Concord,Contra Costa,94519,1979,MT DIABLO UNIFIED SCHOOL,49993,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,37.98671010N,122.00551350W,37.9867101,-122.0055135,abafc71a-612b-4118-a40d-2ca85396d63b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.0055135,37.9867101,-13581591.6368,4577548.5658
844,847,854,"5100 Sierra College Blvd, Rocklin, CA 95677",Rocklin,Placer,95677,1979,SIERRA COLLEGE,53756,College,ECAA-Reg,Completed,2687.8,36971.11417,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,38.79115400N,121.21081700W,38.791154,-121.210817,51a7cc0a-7b8a-4e44-a90f-e520c1b5e2a0,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.210817,38.791154,-13493126.4271,4691800.1731
845,848,855,"115 W Allen Ave, San Dimas, CA 91773",San Dimas,Los Angeles,91773,1979,BONITA UNIFIED SCHOOL,55742,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.11840470N,117.80825080W,34.1184047,-117.8082508,1bf70f45-7d83-44eb-b1a1-a1b179f33641,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.8082508,34.1184047,-13114354.4903,4044711.9869
846,849,856,"1509 Wilson Terrace, Glendale, CA 91206",Glendale,Los Angeles,91206,1979,GLENDALE ADVENTIST MEDICAL CENTER,60725,Hospital/Public Care,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.15123300N,118.23097100W,34.151233,-118.230971,aca657a2-9385-4942-98ce-f699128b8d2c,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.230971,34.151233,-13161411.4877,4049127.0451
847,850,857,"2 N Catalina St, Ventura, CA 93001",Ventura,Ventura,93001,1979,VENTURA UNIFIED SCHOOL,63000,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.27823000N,119.26797200W,34.27823,-119.267972,e166bd13-140e-4d2f-b045-4b3b0be83e83,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.267972,34.27823,-13276849.911,4066222.983
848,851,858,"2425 Jefferson St, Napa, CA 94558",Napa,Napa,94558,1979,NAPA VALLEY UNIFIED,64253,School,ECAA-Ed,Completed,3212.65,41776.98309,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.31387720N,122.29877230W,38.3138772,-122.2987723,20c78a31-f380-4b69-9c90-35915f71b8fa,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2987723,38.3138772,-13614237.0571,4623861.5178
849,852,859,"3847 Walnut Ave, Carmichael, CA 95608",Carmichael,Sacramento,95608,1979,ESKATON AMERICAN RIVER HEALTH CARE CENTER,68901,Hospital/Public Care,ECAA-Reg,Completed,3445.05,46935.2861,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.63437550N,121.34733030W,38.6343755,-121.3473303,ee7904da-601e-4881-abc5-3065dbcbc6c8,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.3473303,38.6343755,-13508323.0181,4669433.5007
850,853,860,"1936 Carlotta Dr, Concord, CA 94519",Concord,Contra Costa,94519,1979,MT DIABLO UNIFIED SCHOOL,74131,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.98671010N,122.00551350W,37.9867101,-122.0055135,b5d51b8b-4716-4d04-bc00-6698fa64ff49,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.0055135,37.9867101,-13581591.6368,4577548.5658
851,854,861,"225 N Hill St, Los Angeles, CA 90012",Los Angeles,Los Angeles,90012,1979,COUNTY OF LOS ANGELES ,77995,Local Government,ECAA-Reg,Completed,3899.75,51043.84817,No,No,No,No,No,Yes,,Imperial Irrigation District,POU,Yes,34.05670500N,118.24602200W,34.056705,-118.246022,b9891794-1d12-4353-b175-c7a6300119c0,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.246022,34.056705,-13163086.9574,4036418.666
852,855,862,"431 W Alisal St, Salinas, CA 93901",Salinas,Monterey,93901,1979,SALINAS UNION HIGH,96710,School,ECAA-Ed,Completed,4835.5,67159.72222,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,36.67204600N,121.66542380W,36.672046,-121.6654238,f370cda6-6a12-48a7-9cc2-daedfd53168d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.6654238,36.672046,-13543733.0246,4393492.283
853,856,863,"1936 Carlotta Dr, Concord, CA 94519",Concord,Contra Costa,94519,1979,MT DIABLO UNIFIED SCHOOL,98609,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.98671010N,122.00551350W,37.9867101,-122.0055135,fecf2381-4611-43cc-9823-8f4f53a4bac6,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.0055135,37.9867101,-13581591.6368,4577548.5658
854,857,864,"2088 N Beale Rd, Marysville, CA 95901",Marysville,Yuba,95901,1979,YUBA CCD,101215,College,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,39.12600900N,121.53790200W,39.126009,-121.537902,bce65a41-3367-446b-bb79-7074737c1ffa,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.537902,39.126009,-13529537.3627,4739737.387
855,858,865,"800 S Garey Ave, Pomona, CA 91766",Pomona,Los Angeles,91766,1979,POMONA UNIFIED SCHOOL,109488,School,ECAA-Ed,Completed,5474.4,99534.54545,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,34.05191800N,117.74918500W,34.051918,-117.749185,a0e5beac-4bd9-4bca-8571-25a1385bf197,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.749185,34.051918,-13107779.3155,4035775.4773
856,859,866,"1325 Cottonwood St, Woodland, CA 95695",Woodland,Yolo,95695,1979,WOODLAND MEMORIAL HOSPITAL,165523,Hospital/Public Care,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.66372000N,121.79280500W,38.66372,-121.792805,44608d4a-7399-4ecb-b462-32fd95476765,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.792805,38.66372,-13557913.0349,4673616.1805
857,860,867,"2180 Milvia St, Berkeley, CA 94704",Berkeley,Alameda,94704,1979,CITY OF BERKELEY,195000,Local Government,ECAA-Reg,Completed,9750,134297.5207,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,37.86945500N,122.27087380W,37.869455,-122.2708738,8c5f47e1-2df9-4aae-bfb7-c1c212e17fac,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2708738,37.869455,-13611131.4103,4561000.5614
858,861,868,"2701 Fairview Rd, Costa Mesa, CA 92626",Costa Mesa,Orange,92626,1979,ORANGE COAST COLLEGE,216729,College,ECAA-Reg,Completed,10836.45,140186.934,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,33.66795700N,117.91270700W,33.667957,-117.912707,09cea20f-589f-42d1-9020-42b7e79cd866,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.912707,33.667957,-13125982.5013,3984303.4296
859,862,869,"1601 Ygnacio Valley Rd, Walnut Creek, CA 94598",Walnut Creek,Contra Costa,94598,1979,JOHN MUIR MEMORIAL HOSPITAL,244816,Hospital/Public Care,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.91306100N,122.04081900W,37.913061,-122.040819,c195bb9f-b018-4648-bf75-4714007f943e,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.040819,37.913061,-13585521.8271,4567151.5174
860,863,870,"15744 Goldenwest St, Huntington Beach, CA 92647",Huntington Beach,Orange,92647,1979,GOLDEN WEST COLLEGE,246541,College,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,33.73370100N,118.00304200W,33.733701,-118.003042,a969f0dd-fe49-41a2-bcf2-e520c0021017,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.003042,33.733701,-13136038.5475,3993100.381
861,864,871,"280 Hospital Pkwy, San Jose, CA 95119",San Jose,Santa Clara,95119,1979,SAN JOSE MEDICAL CENTER,251000,Hospital/Public Care,ECAA-Reg,Completed,12550,162354.4631,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.23874800N,121.80155100W,37.238748,-121.801551,b48e7731-f443-4d82-9e4b-545e50e2c362,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.801551,37.238748,-13558886.6352,4472437.6331
862,865,872,"415 S Ivy Ave, Monrovia, CA 91016",Monrovia,Los Angeles,91016,1979,CITY OF MONROVIA,253000,Local Government,ECAA-Reg,Completed,12650,175694.4444,No,No,No,No,No,Yes,,Lassen Municipal Utility District,POU,No,34.14746920N,117.99900520W,34.1474692,-117.9990052,2d717c9b-2867-4a3b-9582-a1884a0d6947,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.9990052,34.1474692,-13135589.173,4048620.7669
863,866,873,"290 N D St, San Bernardino, CA 92401",San Bernardino,San Bernardino,92401,1979,CITY OF SAN BERNARDINO,323275,Local Government,ECAA-Reg,Completed,16163.75,209104.1397,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,34.10408700N,117.29226500W,34.104087,-117.292265,ac62519f-91b2-4a30-bb0f-7f8a3d724f10,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.292265,34.104087,-13056915.2138,4042786.9448
864,867,874,"303 E B St, Ontario, CA 91764",Ontario,San Bernardino,91764,1979,CITY OF ONTARIO,352000,Local Government,ECAA-Reg,Completed,17600,227390.1809,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.06519600N,117.64785800W,34.065196,-117.647858,1547619e-fb0d-4a0b-aeb0-a21847ed8633,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.647858,34.065196,-13096499.6455,4037559.6192
865,868,875,"455 E Calaveras Blvd, Milpitas, CA 95035",Milpitas,Santa Clara,95035,1979,CITY OF MILPITAS,360000,Local Government,ECAA-Reg,Completed,18000,250000,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.43300530N,121.89918430W,37.4330053,-121.8991843,28ac7800-0d70-4220-aef0-afaf62d65a6e,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.8991843,37.4330053,-13569755.1244,4499635.2343
866,869,876,"2180 Milvia St, Berkeley, CA 94704",Berkeley,Alameda,94704,1979,CITY OF BERKELEY,527000,Local Government,ECAA-Reg,Completed,26350,362947.6584,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.86945500N,122.27087380W,37.869455,-122.2708738,d8448890-f1eb-4f24-b59a-06650f46ab0a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2708738,37.869455,-13611131.4103,4561000.5614
867,870,877,"333 Mercy Ave, Merced, CA 95340",Merced,Merced,95340,1979,MERCY  HOSPITAL AND MEDICAL CENTER,572372,Hospital/Public Care,ECAA-Reg,Completed,28618.6,380061.089,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.34013200N,120.46720100W,37.340132,-120.467201,3fbd1436-50c0-46c4-bcad-8e235d0c8666,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.467201,37.340132,-13410347.4726,4486623.4414
868,871,878,"100 Garfield Ave, Pasadena, CA 91101",Pasadena,Los Angeles,91101,1979,CITY OF PASADENA,700000,Local Government,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,34.14736800N,118.14374200W,34.147368,-118.143742,cdaf0121-6c16-478a-9ffb-307bf26b34fd,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.143742,34.147368,-13151701.1999,4048607.1545
869,872,879,"200 N Spring St, Los Angeles, CA 90012",Los Angeles,Los Angeles,90012,1979,CITY OF LOS ANGELES,1000000,Local Government,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,34.05403200N,118.24261100W,34.054032,-118.242611,6ebe6251-bf58-4f23-99cd-8b859c333313,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.242611,34.054032,-13162707.2466,4036059.5131
870,873,880,"3900 Main St, Riverside, CA 92501",Riverside,Riverside,92501,1979,CITY OF RIVERSIDE,1000000,Local Government,ECAA-Reg,Completed,50000,681198.9101,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,33.98055500N,117.37567600W,33.980555,-117.375676,d3b4f3b4-6b8a-4238-bb6e-7c227ca7820a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.375676,33.980555,-13066200.4838,4026191.3365
871,874,883,"220 12th St, Colusa, CA 95932",Colusa,Colusa,95932,,County of Colusa,2106754,Local Government,ECAA-Reg,Completed,,621649,Yes,Yes,Yes,No,No,Yes,19 Measures (Lighting/HVAC/PV/Boiler Replacement) at seven different locations,Pacific Gas & Electric,IOU,No,39.21592170N,122.01789670W,39.2159217,-122.0178967,dd991ecb-68b9-4018-b348-1a59364f2180,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/11/2023 8:05:00 PM,SLocwood_CAEnergy,-122.0178967,39.2159217,-13582970.1283,4752647.8662
872,875,884,"915 I St, Sacramento, CA 95814",Sacramento,Sacramento,95814,,City of Sacramento,3000000,Local Government,ECAA-Reg,Completed,,,Yes,No,No,No,No,No,Street lighting uograde to LED at various locations within the City,Pacific Gas & Electric Company,IOU,No,38.58228900N,121.49331200W,38.582289,-121.493312,2a74ac2b-f280-45cd-8b3e-9cbeaa095c5a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/11/2023 8:05:00 PM,SLocwood_CAEnergy,-121.493312,38.582289,-13524573.6266,4662013.4566
873,876,885,"1605 E. Burnley Street, Camarillo, CA  93010",Camarillo,Ventura,93010,2021,Pleasant Valley Recreation and Park District,147720,Special District,ECAA-Reg,Completed,23593,158549,Yes,No,No,No,No,Yes,"Retrofit interior and exterior lighting at multiple sites. Project was completed using $40,268.06 of total loan amount.",Southern California Edison,IOU,No,34.226368,-119.049102,34.226368,-119.049102,4d06c759-d369-4e18-8bc9-fc357f3764d5,8/22/2022 3:59:00 PM,mlaw_CAEnergy,2/14/2023 7:38:00 PM,SLocwood_CAEnergy,-119.049273,34.226309,-13252504.4497,4059230.4265
874,877,886,"5100 Bullion Street, Mariposa, CA  95338",Mariposa,Mariposa,95338,2021,County of Mariposa,2838826,Local Government,ECAA-Reg,Completed,190823,919257,Yes,No,Yes,No,No,No,Install LED lighting at eight sites and install carport PV systems at four county facilities,Pacific Gas & Electric Company,IOU,No,37.4897124,-119.9681423,37.4897124,-119.9681423,b60d810d-961a-4af4-9bc7-128b96d3e60c,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.968142,37.489712,-13354792.4789,4507587.9303
875,878,887,"834 Main Street, Ferndale, CA  95536",Ferndale,Humboldt,95536,2021,City of Ferndale,203200,Local Government,ECAA-Reg,Completed,14827,77760,Yes,No,Yes,No,No,No,Install interior and exterior lighting retrofits and install one rooftop PV system,Pacific Gas & Electric Company,IOU,No,40.5803923,-124.2601878,40.5803923,-124.2601878,26416db2-8d0e-4261-bbc0-7ac32d627c71,8/22/2022 3:59:00 PM,mlaw_CAEnergy,2/14/2023 7:43:00 PM,SLocwood_CAEnergy,-124.260188,40.580392,-13832580.854,4950645.209
876,879,888,"2120 Euclid Ave., East Palo Alto, CA  94303",East Palo Alto,San Mateo,94303,2021,Ravenswood City School District,2925948,School,ECAA-Ed,Completed,158279,140166,Yes,No,Yes,No,No,No,Lighting retrofits at two school sites and install solar PV at four school sites,Pacific Gas & Electric Company,IOU,Yes,37.4636917,-122.1434933,37.4636917,-122.1434933,eb264488-639e-4706-a1c6-ed554800570f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.143493,37.463692,-13596951.4445,4503938.0686
877,880,889,"390 North Euclid Ave., Upland, CA  91786",San Bernardino,San Bernardino,91786,2021,Upland Unified School District,2987865,School,ECAA-Ed,Completed,171563,1523011,No,No,Yes,No,No,No,"Install open-rack, ground-mounted carport solar PV systems at five separate sites",Southern California Edison,IOU,Yes,34.098199,-117.650562,34.098199,-117.650562,fed4ddb7-b79a-4f2f-ab6f-6aba23f8949d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.650562,34.098199,-13096800.6534,4041995.3866
878,881,890,"300 North School Street, Pixley, CA  93256",Pixley,Tulare,93256,2021,Pixley Union Elementary School,1465747,School,ECAA-Ed,Completed,115559,840727,No,No,Yes,No,No,No,Install ground-mounted solar PV system,Southern California Edison,IOU,Yes,35.9730117,-119.2810483,35.9730117,-119.2810483,b5c9cdca-923b-4721-9cd2-4fa476cca4f7,8/22/2022 3:59:00 PM,mlaw_CAEnergy,3/1/2023 6:00:00 PM,SLocwood_CAEnergy,-119.281048,35.973012,-13278305.5246,4296908.5
879,882,891,"714 North White Street, Hanford, CA  93230",Hanford,Kings,93230,2021,Hanford Elementary School District,2473151,School,ECAA-Ed,Completed,140082,1066112,No,No,Yes,No,No,No,Install ground-mounted shade structure solar PV systems,Southern California Edison,IOU,No,36.332641,-119.639982,36.332641,-119.639982,db0814aa-b94b-4e85-a08f-61baade98fc4,8/22/2022 3:59:00 PM,mlaw_CAEnergy,2/14/2023 7:39:00 PM,SLocwood_CAEnergy,-119.639982,36.332641,-13318261.8748,4346489.324
880,883,892,"37479 Avenue 12, Madera, CA  93636",Madera,Madera,93636,2021,Golden Valley Unified School District,1712180,School,ECAA-Ed,Completed,134735,732572,Yes,Yes,No,No,No,Yes,"Retrofit interior lighting at four sites, install plug load management systems at four sites, upgrade HVAC at two sites",Pacific Gas & Electric Company,IOU,No,36.9233363,-119.8673867,36.9233363,-119.8673867,7a6c6e6a-2db4-4b35-ae0f-8dd95b962112,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.867387,36.923336,-13343576.4836,4428426.1948
881,884,893,"24285 Lincoln Street, Chualar, CA  93925",Chualar,Monterey,93925,2021,Chualar Union School District,600000,School,ECAA-Ed,Completed,30583,159200,No,No,Yes,No,No,No,Install one ground-mounted solar PV shade structure at Chualar Union Elementary School,Pacific Gas & Electric Company,IOU,No,36.572245,-121.516076,36.572245,-121.516076,a03808ed-3110-4a6d-9d78-e5caea052ebe,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/11/2023 8:05:00 PM,SLocwood_CAEnergy,-121.516076,36.572245,-13527107.7035,4379649.7963
